,Round,Date,Home,Away,Venue,Attendance,GHome,GAway,Winner,Season
214,Regular Season,2015-07-25,Houston Dynamo,LA Galaxy,BBVA Compass Stadium,22445,3,0,Houston Dynamo,2015
215,Regular Season,2015-07-26,NYCFC,Orlando City,Yankee Stadium,32041,5,3,NYCFC,2015
216,Regular Season,2015-07-26,D.C. United,Philadelphia,Robert F. Kennedy Memorial Stadium,19125,3,2,D.C. United,2015
217,Regular Season,2015-07-26,Vancouver,San Jose,BC Place,20298,3,1,Vancouver,2015
218,Regular Season,2015-08-01,NYCFC,Montreal Impact,Yankee Stadium,27645,2,3,Montreal Impact,2015
219,Regular Season,2015-08-01,Philadelphia,NY Red Bulls,Subaru Park,18883,1,3,NY Red Bulls,2015
220,Regular Season,2015-08-01,D.C. United,Real Salt Lake,Robert F. Kennedy Memorial Stadium,17288,6,4,D.C. United,2015
221,Regular Season,2015-08-01,Orlando City,Columbus Crew,Camping World Stadium,26586,5,2,Orlando City,2015
222,Regular Season,2015-08-01,New England,Toronto FC,Gillette Stadium,21362,3,1,New England,2015
223,Regular Season,2015-08-01,Sporting KC,Houston Dynamo,Children's Mercy Park,19882,1,1,,2015
224,Regular Season,2015-08-01,Colorado Rapids,LA Galaxy,Dick's Sporting Goods Park,18597,1,3,LA Galaxy,2015
225,Regular Season,2015-08-01,Seattle,Vancouver,CenturyLink Field,53125,0,3,Vancouver,2015
226,Regular Season,2015-08-02,San Jose,Portland Timbers,Avaya Stadium,18000,0,0,,2015
227,Regular Season,2015-08-02,Chicago Fire,FC Dallas,Toyota Stadium,14209,2,0,Chicago Fire,2015
228,Regular Season,2015-08-05,Montreal Impact,NY Red Bulls,Saputo Stadium,19213,1,1,,2015
229,Regular Season,2015-08-05,Toronto FC,Orlando City,BMO Field,26648,4,1,Toronto FC,2015
230,Regular Season,2015-08-07,Portland Timbers,Chicago Fire,Providence Park,21144,1,0,Portland Timbers,2015
231,Regular Season,2015-08-08,Toronto FC,Sporting KC,BMO Field,24000,1,3,Sporting KC,2015
233,Regular Season,2015-08-08,Orlando City,Philadelphia,Camping World Stadium,28495,0,0,,2015
234,Regular Season,2015-08-08,Montreal Impact,D.C. United,Saputo Stadium,18769,0,1,D.C. United,2015
235,Regular Season,2015-08-08,Colorado Rapids,Columbus Crew,Dick's Sporting Goods Park,16656,1,2,Columbus Crew,2015
236,Regular Season,2015-08-08,Houston Dynamo,San Jose,BBVA Compass Stadium,21876,2,1,Houston Dynamo,2015
237,Regular Season,2015-08-08,Vancouver,Real Salt Lake,BC Place,20638,4,0,Vancouver,2015
238,Regular Season,2015-08-09,LA Galaxy,Seattle,Dignity Health Sports Park,27000,3,1,LA Galaxy,2015
239,Regular Season,2015-08-09,NY Red Bulls,NYCFC,Red Bull Arena,25219,2,0,NY Red Bulls,2015
240,Regular Season,2015-08-13,NYCFC,D.C. United,Yankee Stadium,28262,3,1,NYCFC,2015
241,Regular Season,2015-08-14,San Jose,Colorado Rapids,Avaya Stadium,18000,1,0,San Jose,2015
